Temperature,Rainfall(mm),Surface Pressure,Wind speed,Humidity,STORAGE(P),DAM LEVEL(FT),DRAIN_LEVEL(INCH),Consequence,infrastructure
26.9,0.35,100.15,5.26,69.08,103,124.3877854,14.52087217,NO FLOOD,2
24.62,0.01,100.68,4.34,62,418,126.7853214,14.94952054,NO FLOOD,2
23.37,0.05,100.98,4.19,51.76,1020,131.3672791,14.65669219,NO FLOOD,2
30.53,0.01,100.23,5.51,68.12,298,125.8719743,15.80373249,NO FLOOD,2
32.04,1.52,99.83,3.2,75.44,100,124.3649517,14.45154432,NO FLOOD,2
31.01,0.34,99.96,5.03,66.64,0,123.6038291,14.11466727,NO FLOOD,2
31.17,0.02,99.81,3.83,64.44,0,123.6038291,14.54409701,NO FLOOD,2
30.35,0.07,99.87,5.29,66.4,39,123.9006669,14.62968945,NO FLOOD,2
28.26,0.59,99.84,4.63,76.68,62,124.0757251,15.09585176,NO FLOOD,2
26.8,0.5,99.71,5.52,70.32,134,124.6237334,14.70862129,NO FLOOD,2
27.28,1.16,100.62,3.84,71.04,131,124.6008997,15.32327684,NO FLOOD,2
23.48,2.39,100.9,4.44,56.16,655,128.5891818,14.50003441,NO FLOOD,2
32.14,0.03,99.94,5.95,74.2,0,123.6038291,15.3775416,NO FLOOD,2
32.67,0.01,99.95,3.72,65.2,0,123.6038291,14.37531604,NO FLOOD,2
31.12,0.25,99.77,4.11,66.88,0,123.6038291,15.0464019,NO FLOOD,2
29.37,3.63,100.16,3.53,67.64,0,123.6038291,15.32938791,NO FLOOD,2
29.08,0.39,100.02,2.98,69.08,0,123.6038291,15.85579034,NO FLOOD,2
25.93,3.59,100.53,3.63,69.08,0,123.6038291,14.33429406,NO FLOOD,2
26.9,5.83,100.65,4.96,70.8,0,123.6038291,14.37052259,NO FLOOD,2
25.75,5.78,101.03,6.27,71.04,392,126.5874295,14.26497849,NO FLOOD,2
24.59,1.65,100.64,3.4,63,620,128.3227889,14.62161335,NO FLOOD,2
31.05,0.03,100.15,4.53,68.36,0,123.6038291,15.19297051,NO FLOOD,2
30.49,0.74,99.83,4.09,70.08,101,124.3725629,15.01835425,NO FLOOD,2
29.83,3.88,99.79,5.44,65.44,0,123.6038291,15.08471482,NO FLOOD,2
29.76,0.82,99.88,3.59,67.64,0,123.6038291,15.09593644,NO FLOOD,2
30.48,1.67,99.97,4.05,67.12,0,123.6038291,15.56886979,NO FLOOD,2
26.49,4.71,100.33,4.4,67.88,0,123.6038291,14.69668756,NO FLOOD,2
25.44,0.55,100.51,3.72,63.24,689,128.8479635,14.74774014,NO FLOOD,2
26.05,0.02,100.74,4.06,61.28,549,127.7823919,15.40392814,NO FLOOD,2
30.54,0.02,100.33,5.39,68.36,67,124.1137812,14.64166763,NO FLOOD,2
31.6,0.68,99.51,4.48,76.16,0,123.6038291,14.86719434,NO FLOOD,2
29.52,2.07,99.91,3.15,70.8,57,124.037669,15.87535198,NO FLOOD,2
29.7,0.03,100.24,3.59,68.6,61,124.0681139,14.63038707,NO FLOOD,2
29.39,0.07,100.16,3.69,67.88,59,124.0528914,14.33858939,NO FLOOD,2
24.58,1.51,100.84,2.11,61.04,2753,144.5575329,15.84350742,NO FLOOD,2
31.66,0.02,100.17,4.32,63,1462,134.7314408,14.50195875,NO FLOOD,2
33.01,0.43,99.88,3.01,67.4,989,131.1313312,14.11260208,NO FLOOD,2
31.33,3.23,99.77,5.16,66.88,692,128.8707972,14.75366822,NO FLOOD,2
28.73,2.98,99.75,3.94,69.6,317,126.0165876,14.26574677,NO FLOOD,2
27.37,3.78,100.33,2.12,68.6,153,124.7683466,15.56330922,NO FLOOD,2
26.83,0.03,100.51,4.48,67.88,64,124.0909476,14.56056947,NO FLOOD,2
24.12,1.07,100.82,4.58,58.36,408,126.7092091,15.51028702,NO FLOOD,2
26.76,0.83,100.73,3.38,57.88,57,124.037669,15.2249431,NO FLOOD,2
30.05,0.9,99.64,4.29,68.6,20,123.7560536,14.48816481,NO FLOOD,2
29.81,4.21,99.74,5.51,69.32,0,123.6038291,15.51957932,NO FLOOD,2
28.29,0.74,100.27,3.64,73.96,16,123.7256087,15.5241375,NO FLOOD,2
23.58,0.15,100.86,4.24,60.04,2469,142.3959449,15.3265729,NO FLOOD,2
32.37,0.03,99.99,4.01,70.8,1073,131.7706741,14.71784434,NO FLOOD,2
30.32,1.39,99.74,4.09,65.2,867,130.2027616,15.20538028,NO FLOOD,2
29.74,0.23,99.65,5.92,65.92,832,129.9363688,15.84460505,NO FLOOD,2
29.05,1.86,99.84,6.38,66.16,836,129.9668137,14.47212576,NO FLOOD,2
28.23,1.19,100.25,2.56,70.56,757,129.3655268,14.36769167,NO FLOOD,2
21.79,0.03,100.93,4.04,47.84,1361,133.962707,15.29760595,NO FLOOD,2
24.29,0.1,101.03,4.41,58.84,1544,135.3555613,15.07528858,NO FLOOD,2
31.56,0.02,99.91,4.22,61.76,721,129.0915227,14.6433983,NO FLOOD,2
30.23,0.11,99.84,3.23,75.92,1310,133.5745345,14.15192221,NO FLOOD,2
30.84,0.29,99.52,5.03,67.88,1056,131.6412833,15.55348364,NO FLOOD,2
28.46,0.41,99.55,7.03,73.72,1550,135.4012287,14.4537557,NO FLOOD,2
27.39,6.93,100.16,1.86,75.44,1693,136.4896339,15.93703277,NO FLOOD,2
27.17,0.19,100.14,2.81,72.28,1464,134.7466633,15.81454458,NO FLOOD,2
23.88,0.1,100.93,4.02,51.76,1229,132.9580253,15.2208764,NO FLOOD,2
24.3,0.44,100.67,4.15,54.92,830,129.9211463,15.89375421,NO FLOOD,2
30.48,0.02,99.96,5.3,63.24,596,128.1401195,14.16767782,NO FLOOD,2
31.35,0.02,100.03,5.12,72.28,237,125.4076896,15.83250414,NO FLOOD,2
28.91,0.16,100.03,5.73,65.92,1021,131.3748904,14.49762984,NO FLOOD,2
27.09,4.78,100.14,2.99,73.24,1048,131.5803935,14.44607386,NO FLOOD,2
26.4,0.03,100.35,2.91,70.56,2574,143.1951236,15.45193593,NO FLOOD,2
23.31,0.08,101.02,4.27,50.04,2876,145.4937137,14.90199415,NO FLOOD,2
29.52,0.35,100.27,4.7,66.88,2146,139.9375191,14.88572155,NO FLOOD,2
31.19,0.05,100.42,3.66,65.92,1906,138.1108249,14.77630965,NO FLOOD,2
29.84,0.07,99.57,5.78,69.6,1354,133.9094285,14.18558266,NO FLOOD,2
31.68,0.43,99.82,5.96,66.88,1142,132.2958487,15.39987673,NO FLOOD,2
29.36,4.89,100.2,3.61,71.76,839,129.9896473,15.42482384,NO FLOOD,2
28.9,8.88,100.57,3.72,74.48,856,130.1190382,16.26578741,FLOOD,2
26.84,7.14,100.69,3.97,74.96,947,130.8116597,16.24831634,FLOOD,2
25.86,0.42,100.83,4.11,68.12,2527,142.837396,15.30451838,NO FLOOD,2
24.66,0.03,100.82,4.46,60.56,2788,144.8239258,15.17061475,NO FLOOD,2
30.85,0.02,100.59,4.41,68.36,2018,138.9632822,14.48185441,NO FLOOD,2
32.39,0.01,100.19,4.56,74.72,1515,135.1348358,15.71631134,NO FLOOD,2
32.9,0.06,99.86,6.68,75.92,1118,132.1131792,14.46093781,NO FLOOD,2
30.55,0.99,99.57,6.99,63.48,740,129.236136,15.47826555,NO FLOOD,2
29.09,4.42,99.99,4.12,72.52,642,128.4902359,14.35290062,NO FLOOD,2
27.62,5.69,100.21,3.53,74.72,1036,131.4890588,15.42678212,NO FLOOD,2
27.5,8.41,100.05,3.1,77.64,1357,133.9322621,16.8576116,FLOOD,2
25.55,1.16,100.72,3.08,69.32,2521,142.7917286,15.60108263,NO FLOOD,2
22.6,0.01,100.9,4.73,52,2521,142.7917286,15.30615947,NO FLOOD,2
27.19,0.01,100.6,3.56,63.72,2013,138.9252261,15.36806737,NO FLOOD,2
30.55,0.17,100.02,4.5,77.4,1209,132.8058008,15.5994356,NO FLOOD,2
29.15,8.89,100.05,4.7,70.56,237,125.4076896,16.14920481,FLOOD,2
29.16,7.03,99.81,4.77,69.32,327,126.0926999,16.57052088,FLOOD,2
29.19,9.81,100.03,3.25,72.76,812,129.7841442,16.19252808,FLOOD,2
27.13,3.6,100.18,2.49,72.28,427,126.8538224,15.03929336,NO FLOOD,2
24.97,1.05,100.7,5.08,64.2,349,126.2601468,14.60555117,NO FLOOD,2
23.54,0.05,100.69,4.86,53.24,93,124.3116731,15.34083425,NO FLOOD,2
32.16,0.58,99.97,4.95,77.16,0,123.6038291,15.36983625,NO FLOOD,2
29.88,1.43,99.78,4.01,68.84,7,123.6571077,14.51377471,NO FLOOD,2
29.01,1.75,99.7,3.98,65.92,1,123.6114404,15.80349813,NO FLOOD,2
28.04,3.06,99.94,3.34,73,3,123.6266628,15.59753731,NO FLOOD,2
29.55,2.69,100.03,3.36,70.56,15,123.7179975,15.52665228,NO FLOOD,2
26.94,4.75,100.23,4.1,73.96,241,125.4381345,15.29916191,NO FLOOD,2
26.15,0.32,100.43,2.7,65.92,495,127.3713858,14.50785019,NO FLOOD,2
26.04,2.74,100.53,3.02,72.04,432,126.8918786,14.59115766,NO FLOOD,2
24.46,0.01,100.45,2.76,60.56,474,127.21155,14.59760414,NO FLOOD,2
24.76,0.03,100.45,3.33,58.6,623,128.3456226,14.59548466,NO FLOOD,2
29.66,0.02,100.14,4.38,79.36,342,126.2068683,15.40416826,NO FLOOD,2
33.02,0.26,99.7,4.85,61.04,85,124.2507833,14.87711315,NO FLOOD,2
31.3,0.72,99.97,4.49,63.24,0,123.6038291,14.19189071,NO FLOOD,2
27.01,5.63,100,3.15,72.52,0,123.6038291,15.34780781,NO FLOOD,2
30.53,0.01,99.82,4.37,66.64,3,123.6266628,14.48777824,NO FLOOD,2
28.95,1.63,99.83,3.53,74.96,16,123.7256087,15.31218824,NO FLOOD,2
26.86,0.46,100.52,2.53,64.68,639,128.4674022,14.6939441,NO FLOOD,2
25.44,7.32,100.63,4.27,68.6,822,129.8602565,16.41072555,FLOOD,2
23.91,0.15,101.03,5.3,61.04,1119,132.1207905,15.77759046,NO FLOOD,2
25,10.85,100.93,7.27,64.44,1115,132.0903456,16.06231594,FLOOD,2
30.26,0.03,100.56,4.68,69.32,930,130.6822689,14.31362385,NO FLOOD,2
31.51,0.01,99.87,4.29,66.88,1023,131.3901128,15.84998009,NO FLOOD,2
30.44,1.14,100.08,4.03,73.72,666,128.6729053,15.59321235,NO FLOOD,2
31.98,0.01,99.96,4.36,66.16,1257,133.1711396,15.21785096,NO FLOOD,2
30.02,0.97,99.67,4.37,71.76,658,128.6120155,15.5229499,NO FLOOD,2
29.37,7.84,100.05,3.76,72.04,213,125.2250202,16.6259145,FLOOD,2
27.53,0.16,100.4,2.72,71.76,212,125.2174089,15.20883886,NO FLOOD,2
31.57,0.08,100.18,4.91,66.16,22,123.7712761,14.53043642,NO FLOOD,2
30.55,0.09,100.2,4.34,67.64,14,123.7103863,15.33491665,NO FLOOD,2
33.69,0.15,99.72,5.41,63,7,123.6571077,14.50889347,NO FLOOD,2
27.59,2.32,100.24,4.06,73.96,5,123.6418853,14.14749918,NO FLOOD,2
28.04,2.45,100.15,3.82,70.08,7,123.6571077,14.46188723,NO FLOOD,2
28.2,0.55,100.07,1.95,76.4,5,123.6418853,15.24305884,NO FLOOD,2
26.14,1.28,100.51,3.21,71.76,57,124.037669,15.72369631,NO FLOOD,2
24.93,0.18,100.83,4.38,59.08,14,123.7103863,14.71352458,NO FLOOD,2
24.49,0.22,100.95,4.72,59.32,4,123.634274,15.09195144,NO FLOOD,2
25.42,0.01,100.45,2.52,58.36,5,123.6418853,14.16935516,NO FLOOD,2
30.4,0.17,100.55,3.98,68.84,8,123.6647189,15.52993705,NO FLOOD,2
30.4,2.97,99.98,3.2,73,4,123.634274,14.75348649,NO FLOOD,2
27.69,6,100.16,3.63,80.08,5,123.6418853,15.67646403,NO FLOOD,2
30.42,1.13,99.88,4.34,70.32,5,123.6418853,15.07437279,NO FLOOD,2
28.74,0.55,100.01,5.46,68.6,3.5,123.6304684,15.2975297,NO FLOOD,2
27.35,1.38,100.52,1.64,73.24,14.2,123.7119085,15.29300942,NO FLOOD,2
26.49,7.12,100.6,4.5,73.48,49.6,123.9813459,16.78488544,FLOOD,2
25.25,2.49,100.66,3.58,64.96,851,130.080982,14.18725355,NO FLOOD,2
30.61,0.07,100.15,4.42,68.12,215,125.2402426,14.48065392,NO FLOOD,2
31.37,0.43,99.74,4,77.16,180,124.9738497,14.97082874,NO FLOOD,2
31.33,0.33,100.07,4.7,66.16,126,124.5628436,15.47883816,NO FLOOD,2
29.64,0.05,99.77,6.65,68.12,89,124.2812282,14.19013189,NO FLOOD,2
29.9,1.13,99.77,2.07,74.96,79,124.205116,15.07907688,NO FLOOD,2
28.27,9.88,100.31,2.72,71.52,18,123.7408312,16.39088782,FLOOD,2
27.16,2.14,100.29,2.91,79.6,1582,135.6447879,14.34488295,NO FLOOD,2
23.73,1.23,100.28,5.87,63.24,2826,145.1131524,15.37807054,NO FLOOD,2
23.23,0.06,100.97,4.45,52,3231,148.1956987,15.81157968,NO FLOOD,2
23.63,0.01,101.03,4.11,52.96,3035,146.7038985,14.20639964,NO FLOOD,2
33.9,0.09,99.87,4.1,70.56,1744,136.8778064,15.1169387,NO FLOOD,2
31.17,0.43,100.01,5.2,63.48,1394,134.2138775,15.60948451,NO FLOOD,2
30.98,0.01,99.9,6.62,65.68,793,129.639531,14.52734019,NO FLOOD,2
30.25,0.14,99.97,3.42,66.88,531,127.6453899,15.25348266,NO FLOOD,2
29.8,3.23,100.03,3.46,72.28,632,128.4141237,14.75583873,NO FLOOD,2
29.43,0.92,100.12,3.66,71.76,1725,136.7331931,14.95936209,NO FLOOD,2
24.55,0.2,100.82,4.37,58.84,2354,141.520654,15.36584002,NO FLOOD,2
29.95,0.01,100.49,3.72,66.16,2036,139.1002842,14.46852013,NO FLOOD,2
31.25,0.17,100.24,4.99,72.04,1867,137.8139871,15.15677933,NO FLOOD,3
29.62,0.07,99.84,6.51,68.12,305,125.9252529,15.8470161,NO FLOOD,3
27.37,5.82,99.9,3.08,74.72,1071,131.7554516,15.87787685,NO FLOOD,3
26.76,2.63,100.08,3.23,76.16,2265,140.8432549,14.95459332,NO FLOOD,3
26.01,10.2,100.35,2.35,74.72,2429,142.0914959,16.24522485,NO FLOOD,3
24.56,0.02,100.87,3.79,54.44,2568,143.1494562,14.60028525,NO FLOOD,3
26.55,0.7,100.52,3.24,60.32,2801,144.9228718,14.70523863,NO FLOOD,3
28.04,2.87,100.26,3.01,74.2,2487,142.5329469,14.27556759,NO FLOOD,3
32.84,0.07,99.85,5.45,72.52,2257,140.7823651,15.10315161,NO FLOOD,3
30.92,0.98,99.93,3.23,70.08,945,130.7964372,15.02084599,NO FLOOD,3
30.11,1.67,100.11,4.72,64.68,736,129.2056911,15.74542589,NO FLOOD,3
30.15,4.16,99.83,4.53,71.04,639,128.4674022,14.72919638,NO FLOOD,3
28.19,5.36,100.08,1.88,73.96,540,127.7138909,15.39573733,NO FLOOD,3
29.2,0.02,100.18,3.02,70.08,989,131.1313312,14.94121197,NO FLOOD,3
25.44,2.02,100.74,4,71.04,3018,146.5745077,14.37668393,NO FLOOD,3
31.98,0.11,100.15,5.61,72.04,2287,141.0107018,14.64120254,NO FLOOD,3
30.52,0.02,100,3.55,70.32,2000,138.8262801,14.90533489,NO FLOOD,3
31.27,0.5,99.95,5.17,65.2,1567,135.5306195,14.69264256,NO FLOOD,3
26.87,0.44,99.56,7.38,72.04,605,128.2086206,14.19171419,NO FLOOD,3
27.65,1.89,100.49,5.26,69.6,1175,132.5470191,15.29622022,NO FLOOD,3
25.13,9.02,100.77,5.61,66.16,2255,140.7671426,16.55305909,NO FLOOD,3
31.93,0.03,100.2,4.57,70.56,2054,139.2372863,14.71099626,NO FLOOD,3
30.17,2.34,100.47,3.07,71.28,1356,133.9246509,15.25827791,NO FLOOD,3
31.58,0.05,100,3.84,76.16,1195,132.6992436,15.47676604,NO FLOOD,3
27.34,0.66,99.87,5.62,68.12,1050,131.5956159,15.29576265,NO FLOOD,3
29.83,0.3,100.09,3.53,73,1098,131.9609547,14.59950962,NO FLOOD,3
29.15,0.08,100.07,2.98,72.52,1264,133.2244182,15.80935443,NO FLOOD,3
27.69,1.66,100.1,1.8,73,1306,133.5440896,14.4614407,NO FLOOD,3
24.65,0.58,100.35,3.33,64.44,3231,148.1956987,15.34397266,NO FLOOD,3
29.75,0.06,100.11,2.06,77.64,2381,141.726157,15.29096847,NO FLOOD,3
31.55,1.13,99.78,4.12,73.48,1700,136.5429125,14.98715226,NO FLOOD,3
30.88,10.37,99.93,3.38,71.76,1180,132.5850752,16.65095984,NO FLOOD,3
29.24,0.54,99.86,4.95,63.96,1798,137.2888126,14.44775167,NO FLOOD,3
28.41,0.65,99.8,5.81,73.96,2312,141.2009825,15.45330191,NO FLOOD,3
28.65,0.97,100.22,2.01,72.28,3054,146.8485118,14.41572857,NO FLOOD,3
25.3,9.45,100.63,4.08,71.28,2839,145.2120983,16.6099667,NO FLOOD,3
29.18,0.03,100.56,3.97,63.96,2577,143.2179572,15.67076624,NO FLOOD,3
30.43,0.34,99.95,4.12,78.6,2348,141.4749866,15.35468104,NO FLOOD,3
29.02,1.79,99.65,3.38,69.08,1705,136.5809686,15.01954173,NO FLOOD,3
30.13,0.02,100.08,4.12,63.24,940,130.7583811,15.58636419,NO FLOOD,3
28.25,0.23,100.01,4.49,70.8,614,128.2771216,14.37970394,NO FLOOD,3
26.74,1.77,100.19,3.7,72.52,593,128.1172859,14.48987804,NO FLOOD,3
25.12,0.11,100.61,3.3,62.76,1520,135.1728919,15.33527389,NO FLOOD,3
29.87,0.03,100.32,4.53,68.84,411,126.7320428,15.49598347,NO FLOOD,3
31.15,0.01,100.12,4.42,71.76,404,126.6787642,15.39863245,NO FLOOD,3
28.58,3.34,99.87,3.59,72.04,337,126.1688121,14.44384775,NO FLOOD,3
29.16,0.58,99.96,4.74,64.44,219,125.2706875,14.65946382,NO FLOOD,3
29.84,1.03,99.75,6.8,64.44,198,125.1108518,15.75595564,NO FLOOD,3
28.43,0.84,100.17,2.91,77.88,307,125.9404754,15.80699586,NO FLOOD,3
28.52,2.52,99.97,2.98,75.92,329,126.1079223,15.18275685,NO FLOOD,3
26.09,3.56,100.57,3.95,74.96,457,127.0821592,15.33500146,NO FLOOD,3
25.67,3.95,100.75,2.95,70.56,747,129.2894146,15.4079008,NO FLOOD,3
24.76,0.18,100.86,5.09,55.68,147,124.7226793,14.37669246,NO FLOOD,3
26.85,0.05,100.64,4.02,54.44,526,127.6073338,15.06838367,NO FLOOD,3
31.23,0.27,100.25,5.09,67.4,294,125.8415294,15.72810627,NO FLOOD,3
31.58,1.51,99.74,3.6,78.6,429,126.8690449,14.34318477,NO FLOOD,3
29.73,0.67,100.04,4.23,73.96,105,124.4030078,15.29845587,NO FLOOD,3
31.13,0.43,99.88,4.82,68.36,81,124.2203384,15.36134952,NO FLOOD,3
28.99,0.95,99.76,5.66,67.4,574,127.9726726,15.5207122,NO FLOOD,3
27.61,0.05,100.5,2.56,70.08,410,126.7244316,14.55721512,NO FLOOD,3
25.75,8.41,100.46,5.76,73.72,286,125.7806396,16.89741839,NO FLOOD,3
25.05,0.07,100.59,5.13,61.28,280,125.7349723,14.68642774,NO FLOOD,3
24.57,0.23,100.37,2.14,64.96,487,127.310496,14.6549889,NO FLOOD,3
23.99,0.01,100.97,4.14,57.36,235,125.3924671,14.57848981,NO FLOOD,3
27.37,0.17,100.54,4.59,61.04,235,125.3924671,15.12602521,NO FLOOD,3
29.98,0.01,100.49,3.92,65.68,77,124.1898935,15.79175589,NO FLOOD,3
29.87,0.18,100.29,5.02,76.68,155,124.7835691,15.5761079,NO FLOOD,3
29.74,0.36,99.95,3.17,75.68,98,124.3497292,15.78876177,NO FLOOD,3
30.92,0.38,100.22,4.1,68.84,80,124.2127272,15.66687072,NO FLOOD,3
29.46,0.31,100.17,3.41,74.96,59,124.0528914,15.49030493,NO FLOOD,3
27.29,3.75,100.47,2.58,74.2,59,124.0528914,14.76508206,NO FLOOD,3
32.05,0.01,100.21,5.51,67.88,1239,133.0341375,15.384602,NO FLOOD,3
28.98,0.41,100.14,4.29,75.68,1065,131.7097843,15.42315245,NO FLOOD,3
29.05,0.02,99.81,6.13,70.08,1018,131.3520567,15.25047879,NO FLOOD,3
28.69,1.19,100,5.2,65.2,643,128.4978471,15.81130056,NO FLOOD,3
28.12,8.44,100.15,2.69,69.08,569,127.9346164,15.99606659,NO FLOOD,3
28.45,1.76,100.01,2.37,74.48,285,125.7730284,15.77035149,NO FLOOD,3
27.23,2.25,100.6,4.34,68.84,229,125.3467998,14.4985903,NO FLOOD,3
24.01,0.07,100.81,4.13,55.16,617,128.2999553,14.86216869,NO FLOOD,3
31.27,0.06,100.4,4.55,66.64,58,124.0452802,15.72778469,NO FLOOD,3
33.32,0.04,99.81,4.48,68.6,39,123.9006669,14.76107974,NO FLOOD,3
30.73,0.5,99.91,4.01,68.36,19,123.7484424,15.37678913,NO FLOOD,3
29.76,7.91,100.13,3.18,75.44,20,123.7560536,16.13747563,NO FLOOD,3
27.62,9.15,100.16,2.79,80.08,42,123.9235006,16.19232522,NO FLOOD,3
24.22,0.02,100.39,4.55,63,1012,131.3063893,14.81116363,NO FLOOD,3
29.7,0.11,100.26,4.66,72.52,1611,135.8655134,15.27832312,NO FLOOD,3
31.97,0.49,100.08,6.35,78.84,396,126.6178744,15.79017318,NO FLOOD,3
32.12,2.73,99.93,2.19,78.84,184,125.0042946,14.89705072,NO FLOOD,3
29.32,3.13,100.08,2.4,66.4,132,124.6085109,14.79039668,NO FLOOD,3
30.89,1.29,99.99,4.97,65.2,50,123.9843904,14.88970829,NO FLOOD,3
28.21,9.18,100.21,4.03,72.28,13,123.7027751,16.71996792,NO FLOOD,3
28.34,2.42,100.31,2.77,76.4,93,124.3116731,15.73405082,NO FLOOD,3
24.44,0.04,100.76,3.88,58.6,381,126.5037061,14.85411757,NO FLOOD,3
28.61,0.37,100.45,4.41,68.12,477,127.2343837,14.85616765,NO FLOOD,3
31.61,1.35,99.87,3.39,72.04,193,125.0727957,14.5829384,NO FLOOD,3
32.74,1.5,99.92,4.34,69.32,56,124.0300578,14.83945103,NO FLOOD,3
31.94,0.04,99.74,4.3,73,18,123.7408312,14.91274436,NO FLOOD,3
29.52,1.56,100.11,3.93,72.04,16,123.7256087,14.31619184,NO FLOOD,3
27.61,2.12,100,4.05,73.72,16,123.7256087,14.56632346,NO FLOOD,3
27.3,0.05,100.57,2.81,71.28,597,128.1477308,15.83047873,NO FLOOD,3
26.89,3.4,100.5,2.38,73.96,1682,136.4059104,14.62618256,NO FLOOD,3
30.7,0.05,100.28,3.33,75.68,849,130.0657596,14.29414264,NO FLOOD,3
30.49,0.09,100.23,4,79.36,377,126.4732612,14.99313178,NO FLOOD,3
29.17,6.82,99.86,3.6,77.4,222,125.2935212,15.98540594,NO FLOOD,3
27.76,10.48,99.89,3.38,78.84,85,124.2507833,16.04015562,NO FLOOD,3
27.26,3.28,100.08,1.66,79.6,95,124.3268956,15.34286742,NO FLOOD,3
27.72,0.43,99.99,3.58,73.24,712,129.0230217,15.36949198,NO FLOOD,3
25.43,0.3,100.76,5.73,64.68,2902,145.6916055,15.22124822,NO FLOOD,3
23.66,0.81,100.76,4.6,58.6,3135,147.4650211,14.59624773,NO FLOOD,3
31.03,0.19,100.26,3.82,73,1160,132.4328507,15.55147931,NO FLOOD,3
31.7,0.11,99.84,3.59,74.2,427,126.8538224,15.51699033,NO FLOOD,3
29.44,4.58,99.9,4.02,81.8,404,126.6787642,14.77276007,NO FLOOD,3
