Temperature,Rainfall(mm),Surface Pressure,Wind speed,Humidity,STORAGE(P),DAM LEVEL(FT),DRAIN_LEVEL(INCH),Consequence,infrastructure
29.73,0,100.47,4.05,57.36,55,124.0224465,10.8973874,NO BLOCKAGE,2
32.33,0,100.03,6.11,66.64,50,123.9843904,10.23196498,NO BLOCKAGE,2
34.01,0,99.79,4.57,68.36,29,123.8245547,5.219618899,NO BLOCKAGE,2
22.97,0,100.53,2.21,51.76,2077,139.4123445,8.953417865,NO BLOCKAGE,2
24.44,0,100.77,2.88,50.8,1721,136.7027482,9.558102436,NO BLOCKAGE,2
29.9,0,100.37,5.75,66.64,1381,134.1149315,10.75257796,NO BLOCKAGE,2
31.14,0,99.57,3.95,68.12,974,131.0171628,7.264829148,NO BLOCKAGE,2
23.1,0,100.84,4.21,55.68,1504,135.0511123,9.436329209,NO BLOCKAGE,2
26.55,0,100.57,2.8,58.84,1273,133.2929192,6.545390043,NO BLOCKAGE,2
29.71,0,100.2,4.84,61.76,970,130.9867179,5.120591643,NO BLOCKAGE,2
23.84,0,100.83,4.47,54.2,1781,137.1594217,9.584445768,NO BLOCKAGE,2
26.66,0,100.85,3.55,53.72,715,129.0458554,12.40820959,DRAINAGE BLOCKED,2
28.27,0,100.13,3.43,69.32,1096,131.9457323,10.05824593,NO BLOCKAGE,2
22.13,0,100.57,3.77,47.6,2883,145.5469922,6.860905612,NO BLOCKAGE,2
22.89,0,100.64,2.48,49.32,2695,144.1160819,9.280598415,NO BLOCKAGE,2
25.37,0,100.73,2.91,54.92,2423,142.0458285,11.52497094,NO BLOCKAGE,2
34.91,0,100.09,5.12,58.6,1587,135.682844,13.38741165,DRAINAGE BLOCKED,2
25.43,0,101.03,3.73,62.24,2634,143.6517971,10.12946418,NO BLOCKAGE,2
28.06,0,100.64,3.87,62.48,2353,141.5130427,13.14363893,DRAINAGE BLOCKED,2
23.87,0,100.55,3.24,55.16,2398,141.8555479,9.876175673,NO BLOCKAGE,2
29.8,0,100.22,4.08,52.48,1523,135.1957256,7.252492398,NO BLOCKAGE,2
26.24,0,100.17,3.01,56.4,293,125.8339182,11.86616574,NO BLOCKAGE,2
24.26,0,100.78,3.05,45.64,1,123.6114404,7.215674623,NO BLOCKAGE,2
24.98,0,100.57,3.34,52.48,95,124.3268956,11.22289363,NO BLOCKAGE,2
27.11,0,100.81,3.84,55.4,307,125.9404754,6.209465942,NO BLOCKAGE,2
30.72,0,100.3,4.88,67.12,283,125.757806,6.852328292,NO BLOCKAGE,2
26.13,0,100.62,2.48,57.88,506,127.4551092,13.58186711,DRAINAGE BLOCKED,2
23.54,0,100.7,2.23,50.28,818,129.8298116,11.94363237,NO BLOCKAGE,2
24.12,0,100.74,2.25,52.96,781,129.5481963,6.317481301,NO BLOCKAGE,2
25.84,0,100.87,3.8,63.24,278,125.7197498,10.78331767,NO BLOCKAGE,2
27.55,0,100.59,3.36,53.96,192,125.0651844,7.968820504,NO BLOCKAGE,2
26.15,0,100.57,3.15,52.24,4,123.634274,11.80565389,NO BLOCKAGE,2
29.85,0,99.91,4.12,69.08,1.2,123.6129626,12.76165307,DRAINAGE BLOCKED,2
23.71,0,100.76,4.49,55.4,324.2,126.0713884,10.34500475,NO BLOCKAGE,2
23.5,0,100.86,3.23,56.16,805,129.7308657,7.840371094,NO BLOCKAGE,2
27.65,0,100.74,3.46,58.84,495,127.3713858,12.53534195,DRAINAGE BLOCKED,2
27.61,0,100.39,3.41,67.4,2669,143.91819,12.41256011,DRAINAGE BLOCKED,2
29.57,0,100.37,3.95,63.48,1958,138.5066087,8.148869324,NO BLOCKAGE,2
23.48,0,100.99,2.67,46.88,2928,145.8894974,12.7263738,DRAINAGE BLOCKED,2
23.83,0,101,2.81,52.72,2565,143.1266225,6.980201562,NO BLOCKAGE,2
26.85,0,100.46,3.41,60.56,2246,140.6986416,8.706026975,NO BLOCKAGE,2
32.78,0,99.93,4.83,68.36,1270,133.2700855,11.65642127,NO BLOCKAGE,2
23.46,0,100.74,4.11,56.16,3101,147.2062394,7.70547446,NO BLOCKAGE,2
25.73,0,100.43,2.37,65.44,3061,146.9017904,8.62257827,NO BLOCKAGE,2
25.33,0,100.59,2.38,53.72,2100,139.5874027,13.31798686,DRAINAGE BLOCKED,2
23.33,0,100.77,3.11,53.72,3058,146.8789567,5.439286369,NO BLOCKAGE,2
24,0,100.76,2.29,55.68,3025,146.6277863,5.434962607,NO BLOCKAGE,2
27.83,0,100.35,3.27,52.24,2798,144.9000381,10.8865662,NO BLOCKAGE,2
29.85,0,100.25,3.89,60.04,2886,145.5698259,11.5904305,NO BLOCKAGE,2
24.15,0,100.7,3.98,61.04,2293,141.0563692,10.29362929,NO BLOCKAGE,2
23.61,0,100.88,3.04,54.92,1493,134.9673888,9.240772975,NO BLOCKAGE,2
26.94,0,100.73,2.77,56.64,1758,136.9843636,12.13996148,DRAINAGE BLOCKED,2
24.15,0,100.76,5.12,58.12,3108,147.259518,7.524914417,NO BLOCKAGE,2
26.02,0,100.64,4.33,58.12,2733,144.4053084,11.10224133,NO BLOCKAGE,2
30.44,0,100.32,5.07,63.24,2530,142.8602296,12.32319068,DRAINAGE BLOCKED,2
25.68,0,100.51,2.45,66.4,2484,142.5101133,13.58755481,DRAINAGE BLOCKED,2
23.39,0,100.86,4.72,53.48,3048,146.8028445,7.000690195,NO BLOCKAGE,2
28.02,0,100.21,4.38,70.8,2858,145.3567116,12.58500176,DRAINAGE BLOCKED,2
33.97,0,99.61,7.45,59.56,2080,139.4351782,5.826804789,NO BLOCKAGE,2
24.48,0,100.6,3.41,58.12,796,129.6623646,9.561007637,NO BLOCKAGE,2
23.93,0,100.94,4.47,49.08,1359,133.9474846,13.11675681,DRAINAGE BLOCKED,2
26.4,0,100.65,3.64,49.56,986,131.1084975,11.24330513,NO BLOCKAGE,2
25.04,0,100.88,5,57.36,254,125.5370804,13.33777395,DRAINAGE BLOCKED,2
30.8,0,100.18,4.35,55.68,93,124.3116731,11.5712933,NO BLOCKAGE,2
23.73,0,101.18,4.27,55.4,3114,147.3051853,10.07680283,NO BLOACKAGE,3
23.98,0,100.87,2.05,53.96,2627,143.5985185,7.843938069,NO BLOACKAGE,3
27.43,0,100.84,3.09,63.24,2049,139.1992302,10.23149439,NO BLOACKAGE,3
30.2,0,100.38,4.52,64.2,1911,138.1488811,6.506160293,NO BLOACKAGE,3
24.2,0,100.87,2.77,51.28,724,129.1143564,5.193051122,NO BLOACKAGE,3
26.12,0,100.7,3.66,50.28,799,129.6851983,6.734078699,NO BLOACKAGE,3
30.09,0,100.48,4.99,63.96,160,124.8216252,7.733931077,NO BLOACKAGE,3
23.26,0,100.79,2.65,44.92,1387,134.1605989,7.74812991,NO BLOACKAGE,3
26.76,0,100.51,2.19,52.96,2011,138.9100036,13.01673123,NO BLOACKAGE,3
22.22,0,101.2,4.23,45.16,298,125.8719743,12.38680777,NO BLOACKAGE,3
24.54,0,100.93,4.17,52.72,190,125.049962,10.97213918,NO BLOACKAGE,3
30.61,0,100.44,5.22,63.96,333,126.1383672,6.194933858,NO BLOACKAGE,3
25.84,0,100.72,3.45,63,1584,135.6600103,9.135063806,NO BLOACKAGE,3
27.42,0,100.6,3.5,58.84,1548,135.3860062,6.059152812,NO BLOACKAGE,3
30.36,0,100.45,3.44,61.52,1438,134.5487714,13.18005924,NO BLOACKAGE,3
27.05,0,100.48,2.5,68.84,1540,135.3251164,8.697966704,NO BLOACKAGE,3
24.37,0,100.96,4.45,59.08,3231,148.1956987,12.30879553,NO BLOACKAGE,3
26.05,0,100.7,3.01,60.04,2941,145.9884433,8.985004746,NO BLOACKAGE,3
31.69,0,99.81,4.7,69.84,2018,138.9632822,8.598526956,NO BLOACKAGE,3
